cityName,country,lat,lng,temp,humidity,cloudiness,winds
wloszczowa,pl,50.85,19.97,62.6,95,68,7.63
tautira,pf,-17.73,-149.15,82.4,69,75,10.29
saint george,bm,39.45,22.34,64.4,68,20,2.48
lorengau,pg,-2.02,147.27,79.25,100,100,2.04
victoria,sc,5.28,115.24,78.8,94,75,6.62
brae,gb,60.4,-1.35,50.79,100,88,2.24
wanaka,nz,-44.7,169.14,29.75,92,0,2.71
kodiak,us,39.95,-94.76,78.8,47,1,20.8
tiznit,ma,29.7,-9.73,61.88,86,0,5.84
iqaluit,ca,63.75,-68.52,30.2,80,90,13.87
mount gambier,au,-37.83,140.78,43.88,88,0,2.59
magadan,ru,59.56,150.8,57.2,58,40,4.47
faya,td,18.39,42.45,71.6,49,40,2.82
ushuaia,ar,-54.81,-68.31,44.6,45,0,5.82
ribeira grande,pt,38.52,-28.7,68.09,96,92,16.58
fomboni,km,-12.28,43.74,79.97,100,0,10.98
flinders,au,-34.58,150.85,57.2,76,90,14.99
tommot,ru,58.97,126.27,47.48,81,88,4.72
saskylakh,ru,71.97,114.09,43.97,76,76,16.13
tura,ru,25.52,90.21,75.38,93,36,2.04
ponta do sol,cv,-20.63,-46.0,59.45,79,20,3.6
bijar,ir,35.87,47.6,47.84,91,92,2.71
kiunga,pg,-6.12,141.3,73.4,100,92,2.71
komsomolskiy,ru,67.55,63.78,29.3,95,92,17.13
jumla,np,29.28,82.18,32.0,80,76,1.7
malpe,in,13.35,74.72,78.8,94,40,3.36
turka,ru,49.16,23.03,59.81,93,68,4.38
lahij,ye,13.06,44.88,77.99,83,0,2.37
sungaipenuh,id,-2.08,101.38,66.83,96,20,0.81
pevek,ru,69.7,170.27,35.24,93,92,4.61
panjab,af,34.38,67.02,32.45,78,0,2.26
trincomalee,lk,8.58,81.23,78.62,85,92,17.81
severo-kurilsk,ru,50.68,156.12,42.89,87,92,9.08
katsuura,jp,33.93,134.5,68.0,77,0,3.36
cape town,za,-33.93,18.42,53.6,93,75,3.36
ahero,ke,-0.17,34.92,62.51,92,24,4.38
dolores,ar,-36.31,-57.68,46.4,85,0,9.19
kampong thum,kh,12.71,104.89,73.22,100,92,5.61
oeiras,br,-7.01,-42.13,81.32,56,92,3.94
yerky,ua,49.93,33.53,53.87,53,0,8.97
hasaki,jp,35.73,140.83,72.3,60,20,2.24
sorel,ca,46.04,-73.1,73.4,28,1,13.87
port alfred,za,-33.59,26.89,60.8,94,0,9.64
arman,ru,59.7,150.17,57.2,58,40,4.47
seoul,kr,37.57,126.98,68.65,73,75,3.49
lata,sb,30.78,78.62,44.6,93,0,1.92
san cristobal,ec,-0.39,-78.55,57.2,76,40,16.11
graaff-reinet,za,-32.25,24.53,36.32,76,0,2.37
husavik,is,50.56,-96.99,59.45,93,92,12.77
bredasdorp,za,-34.53,20.04,53.6,87,92,5.82
khatanga,ru,71.98,102.47,41.63,97,68,9.42
namibe,ao,-15.19,12.15,71.42,100,0,10.98
hilo,us,19.71,-155.08,73.4,94,90,6.93
talnakh,ru,69.49,88.39,35.06,92,88,3.15
leningradskiy,ru,69.38,178.42,34.34,92,80,12.33
lerwick,gb,60.15,-1.15,50.9,100,92,2.24
thompson,ca,55.74,-97.86,41.0,100,90,6.93
sao gabriel da cachoeira,br,-0.13,-67.09,76.01,94,64,2.15
alice springs,au,-23.7,133.88,50.0,39,0,3.36
qaanaaq,gl,77.48,-69.36,28.22,100,56,2.71
dikson,ru,73.51,80.55,29.93,98,64,19.71
tasiilaq,gl,65.61,-37.64,33.8,95,56,10.29
mataura,pf,-46.19,168.86,36.86,75,0,4.72
yellowknife,ca,62.45,-114.38,68.0,28,75,4.7
fortuna,us,38.18,-1.13,68.0,88,75,12.75
feltre,it,46.02,11.91,66.83,82,44,3.36
belyy yar,ru,53.6,91.39,55.4,71,0,2.24
mahebourg,mu,-20.41,57.7,73.4,73,40,10.29
yerbogachen,ru,61.28,108.01,51.71,71,0,3.71
albany,au,42.65,-73.75,72.09,53,40,13.87
geraldton,au,49.72,-86.95,62.6,38,20,18.34
busselton,au,-33.64,115.35,52.34,100,44,9.75
basco,ph,40.33,-91.2,78.13,65,75,10.29
butaritari,ki,3.07,172.79,79.97,100,92,8.41
tulun,ru,54.56,100.58,61.34,51,0,3.38
koumac,nc,-20.56,164.28,74.12,68,0,4.94
mahudha,in,22.82,72.94,89.6,62,0,10.29
constitucion,mx,23.99,-104.67,93.2,6,5,8.05
bluff,nz,-23.58,149.07,56.21,51,0,6.62
barrow,us,-38.31,-60.23,47.12,81,92,4.5
puerto ayora,ec,-0.74,-90.35,80.6,65,20,5.82
voyvozh,ru,62.89,54.96,31.55,90,24,8.97
punta arenas,cl,-53.16,-70.91,39.2,80,0,10.29
roald,no,62.58,6.12,52.03,100,0,14.99
louis trichardt,za,-23.04,29.91,47.3,85,0,2.37
port blair,in,11.67,92.75,83.57,100,64,14.0
sorong,id,-0.86,131.25,78.62,100,48,0.81
new norfolk,au,-42.78,147.06,44.6,87,20,11.41
baykit,ru,61.68,96.39,59.09,71,44,9.42
isangel,vu,-19.55,169.27,77.27,100,24,7.4
vardo,no,39.62,-77.74,71.13,94,90,3.36
bethel,us,60.79,-161.76,60.71,52,12,14.67
ugoofaaru,mv,5.67,73.0,83.3,100,92,20.04
souillac,mu,45.6,-0.6,64.4,82,0,3.36
atar,mr,20.52,-13.05,80.69,33,0,5.84
upernavik,gl,72.79,-56.15,29.75,97,8,2.15
praia da vitoria,pt,38.73,-27.07,66.2,82,20,14.56
saint anthony,ca,43.97,-111.68,66.87,46,1,3.36
bodden town,ky,19.28,-81.25,84.9,74,75,4.7
banda aceh,id,5.56,95.32,75.92,99,24,2.71
san quintin,mx,17.54,120.52,82.4,88,75,2.24
ereymentau,kz,51.62,73.1,44.33,94,92,10.54
atuona,pf,-9.8,-139.03,79.52,100,80,11.88
kavaratti,in,10.57,72.64,79.25,100,88,19.82
kahului,us,20.89,-156.47,79.54,69,90,14.45
chegdomyn,ru,51.13,133.04,71.69,62,0,5.39
port elizabeth,za,39.31,-74.98,75.24,88,90,5.61
guerrero negro,mx,27.97,-114.04,72.23,51,0,14.12
nikolskoye,ru,59.7,30.79,59.0,72,0,8.95
tondano,id,1.3,124.91,75.2,100,40,2.24
kangaba,ml,11.94,-8.41,77.27,78,24,3.6
jamestown,sh,-33.21,138.6,46.58,54,0,2.93
sal rei,cv,16.18,-22.92,71.6,83,40,14.99
keetmanshoop,na,-26.57,18.15,35.42,61,0,3.6
norman wells,ca,65.28,-126.83,69.8,37,75,10.29
rocha,uy,-34.48,-54.34,49.55,90,88,11.54
saint-pierre,re,48.95,4.24,58.17,93,0,5.82
andra,ru,62.52,65.89,38.03,96,88,7.74
anuchino,ru,43.97,133.06,77.18,68,0,3.38
wladyslawowo,pl,54.79,18.4,53.6,87,0,2.24
phangnga,th,8.45,98.53,76.17,83,75,5.82
vila franca do campo,pt,37.72,-25.43,62.6,82,20,6.93
georgetown,sh,6.8,-58.16,77.0,94,0,6.93
mehndawal,in,26.98,83.11,80.15,75,20,6.62
adrar,dz,27.87,-0.29,87.8,9,24,10.29
qasigiannguit,gl,68.82,-51.19,32.0,98,0,3.6
ostrovnoy,ru,68.05,39.51,34.07,96,68,3.15
